State_Abrvtn,Pltfrm,Metal_Lvl,Enrlmt_Stus,Cnsmr,Avg_Prm,Avg_Prm_Aftr_APTC,Cnsmr_Wth_APTC_CSR,CSR_Cnsmr,CSR_Cnsmr_73,CSR_Cnsmr_87,CSR_Cnsmr_94,CSR_Cnsmr_AIAN,APTC_Cnsmr,APTC_Cnsmr_Avg_APTC,APTC_Cnsmr_Avg_Prm_Aftr_APTC,Age_0_17,Age_18_25,Age_26_34,Age_35_44,Age_45_54,Age_55_64,Age_GE65,Male,Female,AIAN,ASN,NHPI,BLACK,WHT,Othr_Race,Mlt_Race,Unk_Race,Hspnc_Yes,Hspnc_No,Unk_Ethncty,Rrl,Non_Rrl,Ctstrphc,Brnz,Slvr,Gld,Pltnm,FPL_NFA,FPL_100_150,FPL_150_200,FPL_200_250,FPL_250_300,FPL_300_400,FPL_OTHR
MO,HC.gov,B,All,"68,226",$561 ,$181 ,0.76,0.01,0,0,0,0.01,0.76,$500 ,$81 ,0.08,0.08,0.15,0.16,0.18,0.34,0.01,0.47,0.53,0.01,0.03,0,0.05,0.58,0.01,0.02,0.3,0.02,0.77,0.21,0.25,0.75,N/A,N/A,N/A,N/A,N/A,0.14,0.19,0.15,0.16,0.13,0.18,0.06
MO,HC.gov,S,All,"138,862",$676 ,$152 ,0.91,0.84,0.09,0.24,0.51,0,0.91,$576 ,$106 ,0.06,0.1,0.16,0.17,0.19,0.31,0.01,0.44,0.56,0,0.05,0,0.04,0.56,0.01,0.01,0.32,0.02,0.77,0.21,0.31,0.69,N/A,N/A,N/A,N/A,N/A,0.04,0.51,0.24,0.1,0.04,0.04,0.03
MO,HC.gov,G,All,"6,606",$753 ,$479 ,0.52,0,0,0,0,0,0.52,$524 ,$270 ,0.08,0.06,0.19,0.19,0.19,0.28,0,0.53,0.47,0,0.02,0,0.02,0.52,0.01,0.02,0.41,0.02,0.68,0.3,0.2,0.8,N/A,N/A,N/A,N/A,N/A,0.36,0.09,0.08,0.14,0.12,0.13,0.08
MS,HC.gov,B,All,"19,026",$594 ,$108 ,0.91,0,0,0,0,0,0.91,$534 ,$68 ,0.05,0.11,0.14,0.17,0.22,0.31,0.01,0.43,0.57,0,0.03,0,0.16,0.23,0,0.01,0.56,0.01,0.56,0.42,0.55,0.45,N/A,N/A,N/A,N/A,N/A,0.02,0.5,0.14,0.13,0.09,0.07,0.05
MS,HC.gov,S,All,"91,217",$626 ,$107 ,0.95,0.92,0.07,0.17,0.68,0,0.95,$545 ,$82 ,0.04,0.13,0.15,0.18,0.21,0.27,0.01,0.38,0.62,0,0.04,0,0.21,0.23,0.01,0.01,0.5,0.01,0.7,0.29,0.62,0.38,N/A,N/A,N/A,N/A,N/A,0.01,0.7,0.17,0.07,0.02,0.01,0.02
MS,HC.gov,G,All,723,$816 ,$541 ,0.61,0,0,0,0,0,0.61,$454 ,$405 ,0.11,*,0.14,0.16,0.19,0.31,*,0.45,0.55,*,0.03,*,0.13,0.6,*,*,0.21,*,0.85,*,0.51,0.49,N/A,N/A,N/A,N/A,N/A,0.13,0.07,0.09,0.15,0.19,0.17,0.2
MT,HC.gov,B,All,"28,201",$520 ,$191 ,0.78,0.04,0,0,0,0.04,0.76,$433 ,$99 ,0.11,0.06,0.15,0.17,0.17,0.33,0,0.49,0.51,0.04,0.01,0,0,0.78,0.01,0.02,0.14,0.02,0.9,0.08,0.76,0.24,N/A,N/A,N/A,N/A,N/A,0.13,0.03,0.13,0.18,0.2,0.28,0.05
MT,HC.gov,S,All,"12,674",$668 ,$156 ,0.94,0.86,0.14,0.46,0.26,0,0.94,$547 ,$126 ,0.04,0.08,0.18,0.18,0.17,0.34,0.01,0.45,0.55,0,0.02,0,0,0.79,0.01,0.02,0.16,0.02,0.88,0.09,0.7,0.3,N/A,N/A,N/A,N/A,N/A,0.02,0.27,0.48,0.15,0.05,0.04,0.01
MT,HC.gov,G,All,"3,578",$647 ,$372 ,0.69,0.01,0,0,0,0.01,0.69,$398 ,$275 ,0.14,0.07,0.2,0.19,0.17,0.24,0,0.47,0.53,0.01,0.01,0,0,0.82,0.01,0.03,0.11,0.03,0.92,0.05,0.69,0.31,N/A,N/A,N/A,N/A,N/A,0.19,0.02,0.05,0.22,0.2,0.26,0.06
NC,HC.gov,B,All,"192,736",$509 ,$122 ,0.85,0,0,0,0,0,0.85,$457 ,$58 ,0.13,0.09,0.16,0.17,0.19,0.27,0.01,0.47,0.53,0.01,0.05,0,0.09,0.52,0.01,0.02,0.31,0.05,0.77,0.18,0.23,0.77,N/A,N/A,N/A,N/A,N/A,0.08,0.15,0.15,0.21,0.17,0.2,0.04
NC,HC.gov,S,All,"276,595",$710 ,$98 ,0.97,0.94,0.07,0.24,0.63,0,0.97,$632 ,$79 ,0.05,0.11,0.17,0.18,0.21,0.27,0.01,0.42,0.58,0,0.05,0,0.1,0.43,0.02,0.01,0.38,0.06,0.72,0.22,0.27,0.73,N/A,N/A,N/A,N/A,N/A,0.01,0.63,0.25,0.07,0.02,0.01,0.02
NC,HC.gov,G,All,"58,260",$735 ,$251 ,0.84,0,0,0,0,0,0.84,$577 ,$179 ,0.15,0.08,0.13,0.15,0.19,0.29,0,0.46,0.54,0,0.02,0,0.06,0.62,0.01,0.02,0.27,0.04,0.83,0.13,0.29,0.71,N/A,N/A,N/A,N/A,N/A,0.08,0.07,0.07,0.3,0.21,0.23,0.05
ND,HC.gov,B,All,"9,001",$369 ,$115 ,0.76,0.06,0,0,0,0.06,0.75,$337 ,$36 ,0.24,0.07,0.15,0.16,0.13,0.24,0,0.49,0.51,0.06,0.02,0,0.01,0.71,0.01,0.03,0.17,0.02,0.86,0.12,0.6,0.4,N/A,N/A,N/A,N/A,N/A,0.13,0.04,0.15,0.2,0.19,0.25,0.05
ND,HC.gov,S,All,"6,640",$589 ,$118 ,0.96,0.91,0.11,0.54,0.26,0,0.96,$493 ,$95 ,0.23,0.08,0.17,0.15,0.13,0.24,0.01,0.48,0.52,0,0.04,0,0.02,0.69,0.01,0.01,0.23,0.02,0.85,0.13,0.63,0.37,N/A,N/A,N/A,N/A,N/A,0.01,0.24,0.55,0.11,0.03,0.03,0.03
ND,HC.gov,G,All,"6,692",$557 ,$178 ,0.87,0,0,0,0,0,0.87,$437 ,$129 ,0.26,0.08,0.13,0.14,0.13,0.25,0,0.49,0.51,0.01,0.02,0,0.01,0.77,0,0.02,0.18,0.02,0.87,0.11,0.7,0.3,N/A,N/A,N/A,N/A,N/A,0.06,0.03,0.15,0.31,0.22,0.21,0.03
NE,HC.gov,B,All,"45,989",$599 ,$80 ,0.91,0.01,0,0,0,0.01,0.91,$570 ,$31 ,0.2,0.09,0.16,0.17,0.14,0.23,0,0.5,0.5,0.01,0.02,0,0.01,0.66,0.01,0.01,0.29,0.04,0.77,0.19,0.54,0.46,N/A,N/A,N/A,N/A,N/A,0.05,0.06,0.13,0.24,0.2,0.3,0.02
NE,HC.gov,S,All,"25,004",$870 ,$85 ,0.98,0.95,0.06,0.36,0.52,0,0.97,$806 ,$65 ,0.08,0.11,0.18,0.18,0.18,0.26,0.01,0.45,0.55,0,0.04,0,0.02,0.61,0.01,0.01,0.31,0.07,0.74,0.2,0.48,0.52,N/A,N/A,N/A,N/A,N/A,0,0.53,0.36,0.06,0.02,0.01,0.01
NE,HC.gov,G,All,"17,258",$846 ,$142 ,0.93,0,0,0,0,0,0.93,$756 ,$98 ,0.18,0.09,0.13,0.15,0.16,0.28,0.01,0.48,0.52,0,0.02,0,0.01,0.69,0.01,0.02,0.24,0.06,0.8,0.14,0.54,0.46,N/A,N/A,N/A,N/A,N/A,0.03,0.12,0.13,0.32,0.19,0.19,0.02
NH,HC.gov,B,All,"19,459",$393 ,$244 ,0.52,0,0,0,0,0,0.52,$283 ,$128 ,0.09,0.07,0.13,0.14,0.19,0.38,0.01,0.48,0.52,0,0.03,0,0,0.68,0.01,0.01,0.26,0.02,0.82,0.16,0.44,0.56,N/A,N/A,N/A,N/A,N/A,0.33,0.02,0.08,0.13,0.13,0.24,0.07
NH,HC.gov,S,All,"22,426",$495 ,$203 ,0.82,0.68,0.18,0.31,0.19,0,0.81,$360 ,$146 ,0.05,0.08,0.16,0.15,0.19,0.36,0.01,0.45,0.55,0,0.04,0,0.01,0.65,0.01,0.01,0.28,0.03,0.81,0.16,0.43,0.57,N/A,N/A,N/A,N/A,N/A,0.1,0.18,0.32,0.18,0.07,0.1,0.04
NH,HC.gov,G,All,"3,914",$497 ,$402 ,0.38,0,0,0,0,0,0.38,$251 ,$305 ,0.13,0.07,0.19,0.18,0.18,0.25,0,0.49,0.51,0,0.02,0,0,0.71,0.01,0.01,0.24,0.02,0.84,0.14,0.35,0.65,N/A,N/A,N/A,N/A,N/A,0.45,0.01,0.03,0.1,0.13,0.21,0.07
NJ,SBM,B,All ,"60,603",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,8%,0.08,0.19,0.16,0.19,0.28,0.01,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.04,0.12,0.17,0.15,0.21,0.3
NJ,SBM,S,All ,"202,673",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,7%,0.09,0.15,0.15,0.21,0.31,0.03,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.19,0.28,0.16,0.1,0.13,0.15
NJ,SBM,G,All ,"4,331",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,15%,0.07,0.2,0.22,0.18,0.17,0.01,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.03,0.08,0.11,0.11,0.18,0.49
NM,HC.gov,B,All,"16,636",$374 ,$171 ,0.66,0.03,0,0,0,0.03,0.65,$311 ,$78 ,0.08,0.06,0.13,0.15,0.19,0.37,0.01,0.47,0.53,0.03,0.04,0,0.01,0.51,0.04,0.03,0.35,0.3,0.56,0.15,0.3,0.7,N/A,N/A,N/A,N/A,N/A,0.21,0.06,0.16,0.18,0.16,0.17,0.06
NM,HC.gov,S,All,"15,289",$531 ,$129 ,0.92,0.86,0.12,0.42,0.32,0,0.92,$439 ,$99 ,0.03,0.06,0.12,0.13,0.2,0.43,0.03,0.44,0.56,0,0.05,0,0.01,0.48,0.04,0.02,0.4,0.37,0.48,0.16,0.32,0.68,N/A,N/A,N/A,N/A,N/A,0.03,0.29,0.44,0.13,0.04,0.03,0.04
NM,HC.gov,G,All,"10,980",$504 ,$322 ,0.57,0.01,0,0,0,0.01,0.57,$322 ,$227 ,0.12,0.06,0.11,0.15,0.19,0.37,0.01,0.45,0.55,0.01,0.02,0,0.01,0.6,0.04,0.03,0.29,0.28,0.62,0.11,0.29,0.71,N/A,N/A,N/A,N/A,N/A,0.29,0.02,0.07,0.18,0.18,0.21,0.06
NV,SBM,B,All ,"31,837",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,14%,0.07,0.14,0.16,0.18,0.29,0.02,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.07,0.16,0.2,0.14,0.14,0.29
NV,SBM,S,All ,"46,446",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,14%,0.07,0.14,0.16,0.18,0.29,0.02,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.39,0.3,0.14,0.04,0.03,0.09
NV,SBM,G,All ,"3,119",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,14%,0.07,0.14,0.16,0.18,0.29,0.02,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.05,0.08,0.12,0.09,0.11,0.55
NY,SBM,B,All ,"88,220",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,4%,0.07,0.22,0.2,0.2,0.26,0.01,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0,0,0.18,0.18,0.21,0.42
NY,SBM,S,All ,"79,241",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,3%,0.07,0.14,0.16,0.21,0.37,0.02,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.01,0.01,0.24,0.15,0.18,0.42
NY,SBM,G,All ,"26,367",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
OH,HC.gov,B,All,"109,865",$475 ,$238 ,0.68,0,0,0,0,0,0.68,$347 ,$138 ,0.14,0.07,0.13,0.13,0.16,0.37,0.01,0.47,0.53,0,0.04,0,0.04,0.63,0.01,0.02,0.26,0.02,0.82,0.16,0.21,0.79,N/A,N/A,N/A,N/A,N/A,0.22,0.06,0.13,0.21,0.16,0.18,0.04
OH,HC.gov,S,All,"79,696",$588 ,$223 ,0.88,0.77,0.18,0.35,0.24,0,0.88,$417 ,$177 ,0.08,0.07,0.15,0.14,0.18,0.37,0.01,0.45,0.55,0,0.06,0,0.05,0.61,0.01,0.01,0.26,0.03,0.82,0.15,0.21,0.79,N/A,N/A,N/A,N/A,N/A,0.07,0.24,0.36,0.19,0.06,0.06,0.02
OH,HC.gov,G,All,"9,020",$642 ,$510 ,0.44,0,0,0,0,0,0.44,$299 ,$373 ,0.15,0.06,0.16,0.16,0.18,0.28,0,0.48,0.52,0,0.03,0,0.03,0.67,0.01,0.02,0.23,0.02,0.84,0.13,0.18,0.82,N/A,N/A,N/A,N/A,N/A,0.4,0.01,0.04,0.15,0.16,0.17,0.07
OK,HC.gov,B,All,"69,297",$485 ,$92 ,0.91,0.34,0,0,0,0.34,0.88,$445 ,$37 ,0.17,0.11,0.17,0.18,0.16,0.21,0.01,0.47,0.53,0.27,0.03,0,0.02,0.36,0.01,0.08,0.23,0.05,0.72,0.23,0.33,0.67,N/A,N/A,N/A,N/A,N/A,0.05,0.22,0.19,0.23,0.16,0.12,0.03
OK,HC.gov,S,All,"75,333",$726 ,$89 ,0.96,0.93,0.09,0.24,0.59,0.01,0.96,$661 ,$64 ,0.06,0.11,0.16,0.18,0.2,0.27,0.01,0.43,0.57,0.01,0.06,0,0.03,0.51,0.01,0.02,0.35,0.07,0.67,0.26,0.45,0.55,N/A,N/A,N/A,N/A,N/A,0,0.6,0.25,0.09,0.02,0.02,0.02
OK,HC.gov,G,All,"26,099",$706 ,$187 ,0.88,0.07,0,0,0,0.07,0.87,$597 ,$112 ,0.15,0.09,0.14,0.17,0.18,0.27,0.01,0.47,0.53,0.06,0.02,0,0.02,0.56,0.01,0.04,0.29,0.05,0.73,0.22,0.53,0.47,N/A,N/A,N/A,N/A,N/A,0.05,0.15,0.11,0.27,0.19,0.18,0.05
OR,HC.gov,B,All,"64,194",$472 ,$221 ,0.63,0.01,0,0,0,0.01,0.63,$398 ,$105 ,0.09,0.06,0.16,0.18,0.19,0.32,0.01,0.48,0.52,0.01,0.06,0,0.01,0.66,0.01,0.03,0.21,0.05,0.85,0.1,0.21,0.79,N/A,N/A,N/A,N/A,N/A,0.24,0.03,0.11,0.16,0.15,0.25,0.06
OR,HC.gov,S,All,"57,632",$657 ,$221 ,0.86,0.7,0.15,0.33,0.21,0,0.85,$513 ,$158 ,0.04,0.07,0.15,0.17,0.2,0.35,0.02,0.41,0.59,0,0.08,0.02,0.01,0.61,0.02,0.03,0.23,0.06,0.81,0.13,0.23,0.77,N/A,N/A,N/A,N/A,N/A,0.06,0.19,0.35,0.16,0.08,0.1,0.06
OR,HC.gov,G,All,"18,576",$591 ,$408 ,0.51,0,0,0,0,0,0.51,$358 ,$300 ,0.15,0.06,0.18,0.21,0.18,0.21,0,0.46,0.54,0,0.05,0,0.01,0.7,0.01,0.04,0.18,0.06,0.86,0.08,0.15,0.85,N/A,N/A,N/A,N/A,N/A,0.34,0.02,0.06,0.16,0.14,0.23,0.07
PA,SBM,B,All ,"91,738",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,6%,0.07,0.17,0.16,0.19,0.34,0.01,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.06,0.17,0.19,0.16,0.21,0.21
PA,SBM,S,All ,"154,911",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,4%,0.08,0.16,0.16,0.2,0.35,0.02,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.32,0.38,0.12,0.06,0.06,0.05
PA,SBM,G,All ,"88,981",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,6%,0.06,0.13,0.14,0.18,0.41,0.01,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.04,0.14,0.24,0.18,0.22,0.19
RI,SBM,B,All ,"8,266",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,7%,0.08,0.2,0.17,0.18,0.29,0.01,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.03,0.12,0.17,0.18,0.19,0.31
RI,SBM,S,All ,"12,605",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,1%,0.09,0.17,0.2,0.22,0.27,0.04,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.41,0.42,0.1,0.02,0.01,0.03
RI,SBM,G,All ,"10,037",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,8%,0.07,0.17,0.17,0.2,0.3,0.01,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.04,0.14,0.22,0.16,0.17,0.26
SC,HC.gov,B,All,"117,469",$465 ,$85 ,0.88,0,0,0,0,0,0.88,$430 ,$40 ,0.11,0.09,0.16,0.16,0.19,0.29,0.01,0.45,0.55,0,0.03,0,0.09,0.45,0.01,0.01,0.4,0.03,0.69,0.28,0.17,0.83,N/A,N/A,N/A,N/A,N/A,0.05,0.22,0.17,0.21,0.15,0.17,0.03
SC,HC.gov,S,All,"94,746",$716 ,$141 ,0.95,0.92,0.07,0.23,0.62,0,0.95,$604 ,$112 ,0.04,0.1,0.15,0.16,0.22,0.31,0.01,0.42,0.58,0,0.05,0,0.12,0.44,0.01,0.01,0.37,0.04,0.72,0.24,0.19,0.81,N/A,N/A,N/A,N/A,N/A,0.01,0.63,0.23,0.07,0.02,0.02,0.02
SC,HC.gov,G,All,"15,331",$717 ,$356 ,0.78,0,0,0,0,0,0.78,$467 ,$271 ,0.15,0.07,0.14,0.15,0.18,0.3,0,0.47,0.53,0,0.02,0,0.05,0.64,0.01,0.01,0.26,0.03,0.79,0.18,0.17,0.83,N/A,N/A,N/A,N/A,N/A,0.12,0.04,0.05,0.27,0.22,0.24,0.06
SD,HC.gov,B,All,"14,995",$589 ,$111 ,0.89,0.06,0,0,0,0.06,0.89,$539 ,$53 ,0.19,0.08,0.17,0.17,0.14,0.25,0,0.49,0.51,0.04,0.02,0,0.01,0.78,0.01,0.03,0.11,0.03,0.91,0.07,0.63,0.37,N/A,N/A,N/A,N/A,N/A,0.05,0.09,0.14,0.24,0.21,0.24,0.04
SD,HC.gov,S,All,"14,799",$820 ,$133 ,0.97,0.86,0.16,0.26,0.44,0,0.97,$712 ,$112 ,0.11,0.1,0.17,0.17,0.16,0.29,0,0.45,0.55,0,0.02,0,0.01,0.82,0.01,0.01,0.13,0.02,0.89,0.08,0.68,0.32,N/A,N/A,N/A,N/A,N/A,0.01,0.45,0.26,0.16,0.05,0.05,0.02
SD,HC.gov,G,All,"1,058",$770 ,$349 ,0.81,*,*,*,*,*,0.8,$524 ,$265 ,0.26,0.05,0.17,0.17,0.12,0.22,0,0.48,0.52,*,*,*,*,0.87,*,*,0.09,0.03,0.93,0.05,0.64,0.36,N/A,N/A,N/A,N/A,N/A,0.07,0.04,0.04,0.27,0.25,0.26,0.07
TN,HC.gov,B,All,"93,272",$529 ,$156 ,0.8,0,0,0,0,0,0.8,$467 ,$76 ,0.08,0.08,0.17,0.16,0.2,0.32,0.01,0.47,0.53,0,0.04,0,0.06,0.62,0.01,0.02,0.25,0.03,0.79,0.18,0.27,0.73,N/A,N/A,N/A,N/A,N/A,0.11,0.19,0.17,0.16,0.15,0.16,0.06
TN,HC.gov,S,All,"115,369",$687 ,$155 ,0.92,0.85,0.1,0.25,0.51,0,0.92,$579 ,$114 ,0.04,0.08,0.16,0.16,0.21,0.33,0.01,0.45,0.55,0,0.05,0,0.08,0.57,0.01,0.02,0.27,0.04,0.79,0.17,0.27,0.73,N/A,N/A,N/A,N/A,N/A,0.03,0.51,0.25,0.1,0.04,0.04,0.03
TN,HC.gov,G,All,"2,809",$865 ,$596 ,0.54,0,0,0,0,0,0.54,$497 ,$439 ,0.12,0.07,0.22,0.19,0.17,0.22,0,0.46,0.54,0,0.03,0,0.04,0.76,0.01,0.02,0.15,0.04,0.88,0.08,0.31,0.69,N/A,N/A,N/A,N/A,N/A,0.28,0.09,0.08,0.12,0.14,0.17,0.12
TX,HC.gov,B,All,"459,801",$456 ,$119 ,0.83,0.01,0,0,0,0.01,0.83,$405 ,$53 ,0.13,0.11,0.15,0.16,0.19,0.25,0.02,0.47,0.53,0.01,0.11,0,0.05,0.35,0.02,0.02,0.43,0.22,0.52,0.27,0.12,0.88,N/A,N/A,N/A,N/A,N/A,0.09,0.25,0.18,0.2,0.12,0.11,0.05
TX,HC.gov,S,All,"757,652",$601 ,$99 ,0.97,0.94,0.06,0.17,0.71,0,0.97,$520 ,$82 ,0.08,0.13,0.13,0.16,0.21,0.25,0.03,0.43,0.57,0,0.11,0,0.04,0.28,0.02,0.01,0.53,0.27,0.42,0.31,0.12,0.88,N/A,N/A,N/A,N/A,N/A,0.01,0.7,0.18,0.06,0.01,0.01,0.04
TX,HC.gov,G,All,"66,854",$645 ,$352 ,0.67,0,0,0,0,0,0.67,$440 ,$225 ,0.17,0.08,0.15,0.17,0.18,0.24,0.01,0.46,0.54,0,0.07,0,0.05,0.56,0.02,0.03,0.27,0.2,0.65,0.15,0.2,0.8,N/A,N/A,N/A,N/A,N/A,0.19,0.1,0.07,0.22,0.16,0.16,0.09
UT,HC.gov,B,All,"109,241",$332 ,$89 ,0.84,0.01,0,0,0,0.01,0.84,$288 ,$44 ,0.3,0.1,0.17,0.16,0.12,0.14,0,0.49,0.51,0.01,0.02,0,0,0.53,0.01,0.02,0.4,0.06,0.69,0.25,0.16,0.84,N/A,N/A,N/A,N/A,N/A,0.09,0.05,0.12,0.27,0.2,0.23,0.03
UT,HC.gov,S,All,"95,775",$485 ,$86 ,0.98,0.94,0.1,0.26,0.58,0,0.98,$409 ,$75 ,0.26,0.13,0.18,0.16,0.12,0.14,0.01,0.47,0.53,0,0.04,0,0,0.43,0.01,0.01,0.5,0.08,0.59,0.33,0.15,0.85,N/A,N/A,N/A,N/A,N/A,0.01,0.56,0.26,0.1,0.02,0.02,0.03
UT,HC.gov,G,All,"2,271",$591 ,$392 ,0.66,0,0,0,0,0,0.66,$302 ,$283 ,0.28,0.1,0.19,0.17,0.11,0.14,0.01,0.47,0.53,0,0.02,0.01,0.01,0.67,0.01,0.02,0.26,0.05,0.8,0.15,0.14,0.86,N/A,N/A,N/A,N/A,N/A,0.23,0.02,0.04,0.24,0.17,0.23,0.06
VA,HC.gov,B,All,"106,105",$502 ,$153 ,0.8,0,0,0,0,0,0.8,$438 ,$68 ,0.14,0.09,0.15,0.15,0.18,0.27,0.02,0.47,0.53,0,0.17,0,0.09,0.49,0.02,0.03,0.2,0.07,0.81,0.12,0.12,0.88,N/A,N/A,N/A,N/A,N/A,0.12,0.08,0.16,0.23,0.18,0.19,0.04
VA,HC.gov,S,All,"104,054",$675 ,$123 ,0.94,0.91,0.13,0.37,0.41,0,0.94,$586 ,$91 ,0.07,0.09,0.15,0.16,0.2,0.29,0.04,0.44,0.56,0,0.18,0,0.09,0.43,0.03,0.02,0.25,0.08,0.77,0.15,0.15,0.85,N/A,N/A,N/A,N/A,N/A,0.01,0.4,0.38,0.14,0.02,0.02,0.04
VA,HC.gov,G,All,"48,183",$644 ,$303 ,0.74,0,0,0,0,0,0.74,$459 ,$198 ,0.17,0.08,0.13,0.15,0.18,0.28,0.01,0.46,0.54,0,0.12,0,0.08,0.55,0.03,0.03,0.19,0.08,0.82,0.1,0.12,0.88,N/A,N/A,N/A,N/A,N/A,0.17,0.04,0.08,0.26,0.2,0.21,0.05
VT,SBM,B,All ,"7,191",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,5%,0.07,0.21,0.19,0.2,0.26,0.01,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.03,0.13,0.21,0.19,0.24,0.21
VT,SBM,S,All ,"10,430",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,1%,0.09,0.16,0.17,0.21,0.35,0.01,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.16,0.43,0.21,0.09,0.07,0.04
VT,SBM,G,All ,"5,332",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,6%,0.07,0.11,0.15,0.19,0.42,0.01,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.03,0.12,0.21,0.2,0.22,0.21
WA,SBM,B,All ,"110,259",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,8%,0.08,0.17,0.17,0.19,0.31,0.01,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.03,0.13,0.14,0.12,0.16,0.41
WA,SBM,S,All ,"83,810",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,3%,0.09,0.17,0.17,0.19,0.32,0.03,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.19,0.31,0.12,0.06,0.07,0.25
WA,SBM,G,All ,"26,431",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,12%,0.07,0.18,0.19,0.19,0.25,0.01,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.02,0.06,0.12,0.1,0.14,0.56
WI,HC.gov,B,All,"91,162",$573 ,$192 ,0.78,0.01,0,0,0,0.01,0.77,$492 ,$100 ,0.07,0.06,0.13,0.14,0.16,0.44,0,0.47,0.53,0.01,0.03,0,0.02,0.66,0.01,0.01,0.27,0.03,0.84,0.14,0.4,0.6,N/A,N/A,N/A,N/A,N/A,0.15,0.07,0.12,0.17,0.16,0.3,0.04
WI,HC.gov,S,All,"73,468",$677 ,$130 ,0.96,0.89,0.12,0.32,0.45,0,0.95,$573 ,$107 ,0.02,0.08,0.16,0.16,0.18,0.39,0.01,0.44,0.56,0,0.04,0,0.04,0.63,0.01,0.01,0.26,0.04,0.82,0.14,0.33,0.67,N/A,N/A,N/A,N/A,N/A,0.02,0.45,0.32,0.12,0.03,0.04,0.02
