State_Abrvtn,Pltfrm,Metal_Lvl,Enrlmt_Stus,Cnsmr,Avg_Prm,Avg_Prm_Aftr_APTC,Cnsmr_Prm_Aftr_APTC_LTEQ10,Cnsmr_Wth_APTC_CSR,CSR_Cnsmr,CSR_Cnsmr_73,CSR_Cnsmr_87,CSR_Cnsmr_94,CSR_Cnsmr_AIAN,APTC_Cnsmr,APTC_Cnsmr_Avg_APTC,APTC_Cnsmr_Avg_Prm_Aftr_APTC,Age_0_17,Age_18_25,Age_26_34,Age_35_44,Age_45_54,Age_55_64,Age_GE65,Male,Female,Hspnc_Yes,AIAN_NonHspnc,ASN_NonHspnc,NHPI_NonHspnc,BLACK_NonHspnc,WHT_NonHspnc,Othr_Race_NonHspnc,Mlt_Race_NonHspnc,Unk_Race_Ethncty,AIAN,ASN,NHPI,BLACK,WHT,Othr_Race,Mlt_Race,Unk_Race,Hspnc_No,Unk_Ethncty,Rrl,Non_Rrl,Ctstrphc,Brnz,Slvr,Gld,Pltnm,FPL_LT100,FPL_100_138,FPL_100_150,FPL_150_200,FPL_200_250,FPL_250_300,FPL_300_400,FPL_400_500,FPL_GT500,FPL_OTHR
MA,SBM,B,All,"40,642",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.1,0.08,0.21,0.17,0.17,0.25,0.01,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.01,0,0,0.01,0.01,0.01,0.23,0.09,0.08,0.54
MA,SBM,S,All,"213,707",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.02,0.09,0.22,0.22,0.2,0.24,0.02,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.07,0.05,0.1,0.19,0.18,0.13,0.06,0.02,0.02,0.24
MA,SBM,G,All,"9,862",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.15,0.07,0.16,0.18,0.16,0.27,0.01,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.01,0,0,0,0,0.01,0.11,0.06,0.1,0.71
MD,SBM,B,All,"41,237",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.08,0.08,0.18,0.18,0.19,0.28,0.02,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.02,0.01,0.03,0.11,0.14,0.13,0.19,0.07,0.08,0.24
MD,SBM,S,All,"51,304",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.01,0.08,0.18,0.19,0.19,0.23,0.11,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.26,0.12,0.25,0.33,0.06,0.02,0.02,0.01,0.01,0.04
MD,SBM,G,All,"82,823",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.07,0.08,0.18,0.17,0.19,0.28,0.03,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.04,0.02,0.06,0.16,0.19,0.12,0.14,0.05,0.06,0.18
ME,SBM,B,All,"30,634",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.16,0.06,0.12,0.15,0.17,0.34,0.01,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.02,0.01,0.02,0.07,0.15,0.18,0.26,0.08,0.08,0.14
ME,SBM,S,All,"30,137",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.1,0.06,0.15,0.14,0.17,0.35,0.01,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.02,0.03,0.14,0.3,0.24,0.1,0.09,0.03,0.03,0.05
ME,SBM,G,All,"4,279",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.19,0.06,0.16,0.18,0.17,0.23,0,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.03,0,0.01,0.04,0.13,0.18,0.21,0.08,0.11,0.21
MI,HC.gov,B,All,"143,601",$445 ,$161 ,0.24,0.81,0.01,0,0,0,0.01,0.8,$353 ,$101 ,0.14,0.07,0.13,0.13,0.16,0.37,0.01,0.48,0.52,0.02,0.01,0.03,0,0.03,0.54,0.01,0.01,0.35,0.01,0.03,0,0.03,0.55,0.01,0.01,0.36,0.74,0.24,0.25,0.75,N/A,N/A,N/A,N/A,N/A,0,0.01,0.06,0.11,0.19,0.18,0.22,0.07,0.08,0.1
MI,HC.gov,S,All,"142,742",$557 ,$159 ,0.1,0.94,0.78,0.18,0.3,0.29,0,0.93,$428 ,$134 ,0.1,0.08,0.15,0.15,0.18,0.33,0.01,0.47,0.53,0.02,0,0.04,0,0.03,0.5,0.01,0.01,0.39,0,0.04,0,0.03,0.51,0.01,0.01,0.4,0.72,0.26,0.23,0.77,N/A,N/A,N/A,N/A,N/A,0.01,0.07,0.29,0.31,0.18,0.08,0.07,0.02,0.02,0.02
MI,HC.gov,G,All,"14,183",$601 ,$370 ,0,0.71,0,0,0,0,0,0.71,$325 ,$287 ,0.17,0.06,0.17,0.18,0.17,0.24,0,0.49,0.51,0.03,0,0.03,0,0.04,0.63,0.01,0.02,0.23,0,0.03,0,0.04,0.65,0.02,0.02,0.24,0.83,0.14,0.21,0.79,N/A,N/A,N/A,N/A,N/A,0,0,0.02,0.05,0.22,0.2,0.21,0.08,0.08,0.13
MN,SBM,B,All,"61,074",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.11,0.06,0.11,0.13,0.16,0.42,0.01,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0,0,0,0,0.15,0.15,0.22,0.06,0.07,0.35
MN,SBM,S,All,"37,835",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.11,0.06,0.14,0.15,0.16,0.38,0.01,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0,0,0,0,0.26,0.15,0.18,0.05,0.06,0.3
MN,SBM,G,All,"19,352",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.14,0.07,0.17,0.19,0.17,0.26,0,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0,0,0,0,0.13,0.14,0.17,0.06,0.06,0.43
MO,HC.gov,B,All,"80,844",$581 ,$157 ,0.3,0.85,0.01,0,0,0,0.01,0.85,$498 ,$99 ,0.08,0.08,0.14,0.16,0.18,0.35,0.01,0.48,0.52,0.02,0.01,0.03,0,0.04,0.54,0,0.02,0.33,0.01,0.03,0,0.04,0.55,0.01,0.02,0.34,0.75,0.23,0.29,0.71,N/A,N/A,N/A,N/A,N/A,0.01,0.07,0.15,0.13,0.16,0.15,0.2,0.06,0.07,0.07
MO,HC.gov,S,All,"161,335",$650 ,$110 ,0.17,0.95,0.86,0.12,0.28,0.45,0,0.95,$571 ,$83 ,0.06,0.1,0.16,0.18,0.19,0.3,0.01,0.45,0.55,0.02,0,0.04,0,0.04,0.51,0.01,0.01,0.36,0,0.04,0,0.04,0.52,0.01,0.01,0.37,0.74,0.24,0.35,0.65,N/A,N/A,N/A,N/A,N/A,0.01,0.22,0.46,0.29,0.12,0.04,0.04,0.01,0.01,0.02
MO,HC.gov,G,All,"7,266",$750 ,$503 ,0,0.58,0,0,0,0,0,0.58,$423 ,$358 ,0.1,0.07,0.2,0.2,0.19,0.23,0,0.53,0.47,0.02,0,0.02,0,0.02,0.54,0,0.02,0.37,0,0.02,0,0.02,0.55,0.01,0.02,0.37,0.69,0.29,0.22,0.78,N/A,N/A,N/A,N/A,N/A,0.02,0.02,0.03,0.06,0.12,0.14,0.17,0.06,0.1,0.29
MS,HC.gov,B,All,"18,919",$602 ,$101 ,0.42,0.92,0,0,0,0,0,0.92,$547 ,$65 ,0.07,0.1,0.14,0.17,0.22,0.3,0.01,0.45,0.55,0.01,0,0.03,0,0.18,0.25,0,0.01,0.52,0,0.03,0,0.18,0.25,0.01,0.01,0.52,0.63,0.36,0.59,0.41,N/A,N/A,N/A,N/A,N/A,0.03,0.35,0.39,0.14,0.15,0.13,0.1,0.02,0.02,0.02
MS,HC.gov,S,All,"122,604",$618 ,$61 ,0.18,0.98,0.93,0.07,0.18,0.68,0,0.98,$570 ,$50 ,0.04,0.13,0.15,0.19,0.22,0.26,0.01,0.4,0.6,0.01,0,0.04,0,0.24,0.23,0.01,0,0.47,0,0.04,0,0.24,0.23,0.01,0.01,0.48,0.71,0.28,0.64,0.36,N/A,N/A,N/A,N/A,N/A,0.01,0.59,0.68,0.18,0.07,0.02,0.02,0,0,0
MS,HC.gov,G,All,"1,491",$792 ,$592 ,0,0.46,0,0,0,0,0,0.46,$434 ,$358 ,0.08,0.09,0.2,0.22,0.22,0.2,0,0.59,0.41,0.02,0,0.01,0,0.1,0.33,0.01,0,0.53,0,0.01,0,0.1,0.34,0.01,0.01,0.53,0.54,0.45,0.46,0.54,N/A,N/A,N/A,N/A,N/A,0.05,0.03,0.04,0.05,0.12,0.12,0.1,0.05,0.05,0.42
MT,HC.gov,B,All,"29,075",$521 ,$143 ,0.36,0.84,0.03,0,0,0,0.03,0.83,$455 ,$78 ,0.13,0.06,0.14,0.17,0.17,0.33,0,0.49,0.51,0.02,0.03,0.01,0,0,0.76,0,0.02,0.16,0.03,0.01,0,0,0.77,0.01,0.02,0.16,0.88,0.1,0.76,0.24,N/A,N/A,N/A,N/A,N/A,0,0.01,0.02,0.08,0.14,0.19,0.29,0.1,0.11,0.07
MT,HC.gov,S,All,"15,558",$655 ,$83 ,0.31,0.97,0.86,0.19,0.44,0.22,0.02,0.96,$593 ,$66 ,0.05,0.09,0.2,0.18,0.16,0.31,0.01,0.46,0.54,0.03,0.02,0.02,0,0,0.75,0.01,0.02,0.17,0.02,0.02,0,0,0.76,0.01,0.02,0.18,0.87,0.1,0.71,0.29,N/A,N/A,N/A,N/A,N/A,0,0.04,0.22,0.45,0.19,0.06,0.05,0.01,0.01,0.01
MT,HC.gov,G,All,"6,290",$653 ,$283 ,0.03,0.83,0.01,0,0,0,0.01,0.83,$445 ,$220 ,0.14,0.07,0.21,0.18,0.16,0.24,0,0.47,0.53,0.03,0.01,0.02,0,0,0.8,0.01,0.02,0.11,0.01,0.02,0,0,0.81,0.01,0.03,0.12,0.91,0.06,0.69,0.31,N/A,N/A,N/A,N/A,N/A,0,0,0.01,0.05,0.19,0.23,0.26,0.08,0.09,0.08
NC,HC.gov,B,All,"242,491",$531 ,$95 ,0.51,0.91,0,0,0,0,0,0.9,$482 ,$56 ,0.12,0.09,0.15,0.16,0.2,0.27,0.01,0.48,0.52,0.06,0.01,0.04,0,0.09,0.47,0.01,0.01,0.32,0.01,0.04,0,0.09,0.49,0.01,0.02,0.34,0.73,0.22,0.22,0.78,N/A,N/A,N/A,N/A,N/A,0.01,0.12,0.15,0.12,0.18,0.17,0.2,0.06,0.07,0.04
NC,HC.gov,S,All,"354,972",$699 ,$65 ,0.32,0.98,0.94,0.1,0.25,0.6,0,0.98,$646 ,$54 ,0.06,0.11,0.17,0.18,0.21,0.26,0.01,0.43,0.57,0.07,0,0.05,0,0.1,0.39,0.01,0.01,0.37,0,0.05,0,0.1,0.42,0.02,0.01,0.4,0.68,0.25,0.26,0.74,N/A,N/A,N/A,N/A,N/A,0.01,0.49,0.59,0.25,0.1,0.02,0.01,0,0,0
NC,HC.gov,G,All,"66,363",$724 ,$244 ,0.06,0.88,0,0,0,0,0,0.88,$543 ,$194 ,0.16,0.08,0.14,0.16,0.19,0.27,0,0.45,0.55,0.04,0,0.02,0,0.06,0.58,0.01,0.01,0.27,0,0.02,0,0.06,0.6,0.01,0.02,0.28,0.8,0.16,0.3,0.7,N/A,N/A,N/A,N/A,N/A,0.01,0.04,0.05,0.07,0.23,0.22,0.22,0.06,0.08,0.05
ND,HC.gov,B,All,"10,411",$397 ,$101 ,0.49,0.84,0.06,0,0,0,0.06,0.84,$355 ,$50 ,0.23,0.08,0.14,0.16,0.13,0.27,0,0.5,0.5,0.02,0.05,0.01,0,0.01,0.66,0,0.03,0.22,0.05,0.01,0,0.01,0.67,0.01,0.03,0.22,0.83,0.15,0.58,0.42,N/A,N/A,N/A,N/A,N/A,0,0.01,0.03,0.1,0.14,0.16,0.26,0.1,0.14,0.06
ND,HC.gov,S,All,"7,486",$577 ,$49 ,0.51,0.98,0.93,0.1,0.55,0.28,0,0.98,$538 ,$38 ,0.23,0.09,0.18,0.15,0.12,0.22,0.01,0.48,0.52,0.03,0,0.05,0,0.04,0.63,0,0.02,0.24,0,0.05,0,0.04,0.64,0.01,0.02,0.24,0.84,0.13,0.6,0.4,N/A,N/A,N/A,N/A,N/A,0.03,0.07,0.26,0.55,0.1,0.02,0.02,0.01,0,0
ND,HC.gov,G,All,"11,630",$571 ,$131 ,0.27,0.94,0,0,0,0,0,0.93,$472 ,$104 ,0.25,0.08,0.14,0.14,0.13,0.26,0,0.49,0.51,0.03,0.01,0.02,0,0.01,0.71,0,0.01,0.22,0.01,0.02,0,0.01,0.72,0,0.02,0.23,0.84,0.14,0.68,0.32,N/A,N/A,N/A,N/A,N/A,0,0.01,0.02,0.13,0.28,0.2,0.21,0.07,0.06,0.02
NE,HC.gov,B,All,"67,982",$654 ,$108 ,0.39,0.95,0.01,0,0,0,0.01,0.95,$573 ,$84 ,0.19,0.09,0.14,0.16,0.15,0.26,0,0.5,0.5,0.04,0.01,0.02,0,0.01,0.6,0,0.01,0.31,0.01,0.02,0,0.01,0.62,0.01,0.01,0.33,0.75,0.21,0.55,0.45,N/A,N/A,N/A,N/A,N/A,0,0.02,0.06,0.11,0.22,0.19,0.25,0.07,0.08,0.02
NE,HC.gov,S,All,"22,992",$825 ,$107 ,0.23,0.98,0.94,0.11,0.39,0.44,0,0.98,$731 ,$94 ,0.09,0.11,0.18,0.18,0.18,0.25,0.01,0.46,0.54,0.07,0,0.04,0,0.02,0.52,0,0.01,0.33,0,0.04,0,0.02,0.54,0.01,0.01,0.37,0.69,0.24,0.48,0.52,N/A,N/A,N/A,N/A,N/A,0.01,0.13,0.44,0.39,0.11,0.02,0.02,0,0,0
NE,HC.gov,G,All,"7,644",$843 ,$266 ,0.01,0.92,0,0,0,0,0,0.92,$627 ,$221 ,0.19,0.09,0.14,0.17,0.17,0.23,0.01,0.49,0.51,0.06,0,0.02,0,0.02,0.67,0,0.01,0.22,0,0.02,0,0.02,0.7,0.01,0.02,0.23,0.81,0.14,0.48,0.52,N/A,N/A,N/A,N/A,N/A,0,0.04,0.06,0.1,0.3,0.2,0.18,0.05,0.05,0.04
NH,HC.gov,B,All,"20,098",$409 ,$236 ,0.07,0.6,0,0,0,0,0,0.6,$286 ,$145 ,0.09,0.06,0.13,0.14,0.17,0.38,0,0.49,0.51,0.03,0,0.03,0,0,0.67,0.01,0.01,0.26,0,0.03,0,0.01,0.68,0.01,0.01,0.26,0.81,0.16,0.44,0.56,N/A,N/A,N/A,N/A,N/A,0,0.01,0.02,0.05,0.11,0.14,0.24,0.1,0.11,0.22
NH,HC.gov,S,All,"25,449",$472 ,$154 ,0.12,0.85,0.64,0.18,0.29,0.17,0,0.85,$376 ,$107 ,0.06,0.08,0.17,0.15,0.18,0.36,0.01,0.45,0.55,0.03,0,0.04,0,0.01,0.64,0.01,0.01,0.26,0,0.04,0,0.01,0.66,0.01,0.01,0.27,0.81,0.16,0.43,0.57,N/A,N/A,N/A,N/A,N/A,0.01,0.04,0.17,0.29,0.19,0.08,0.11,0.04,0.04,0.07
NH,HC.gov,G,All,"6,280",$500 ,$371 ,0,0.51,0,0,0,0,0,0.51,$253 ,$291 ,0.13,0.07,0.19,0.18,0.17,0.27,0,0.49,0.51,0.03,0,0.02,0,0,0.7,0,0.01,0.24,0,0.02,0,0,0.72,0.01,0.01,0.24,0.82,0.15,0.37,0.63,N/A,N/A,N/A,N/A,N/A,0,0,0.01,0.03,0.09,0.14,0.23,0.11,0.14,0.27
NJ,SBM,B,All,"57,263",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.09,0.08,0.19,0.16,0.18,0.29,0.01,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.02,0.01,0.03,0.08,0.13,0.14,0.23,0.08,0.09,0.21
NJ,SBM,S,All,"260,515",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.07,0.09,0.16,0.15,0.2,0.3,0.03,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.03,0.07,0.17,0.25,0.16,0.11,0.14,0.04,0.04,0.06
NJ,SBM,G,All,"5,024",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.14,0.07,0.21,0.2,0.18,0.19,0,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.02,0.01,0.04,0.09,0.12,0.12,0.19,0.04,0.08,0.31
NM,SBM,B,All,"6,711",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.09,0.07,0.13,0.16,0.19,0.34,0.01,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.02,0.01,0.03,0.06,0.1,0.12,0.19,0.09,0.11,0.28
NM,SBM,S,All,"12,640",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.03,0.07,0.14,0.14,0.19,0.39,0.03,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.05,0.09,0.27,0.38,0.14,0.05,0.05,0.02,0.01,0.03
NM,SBM,G,All,"26,313",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.09,0.07,0.12,0.14,0.19,0.38,0.01,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.02,0.02,0.05,0.11,0.17,0.15,0.18,0.07,0.07,0.19
NV,SBM,B,All,"38,079",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.15,0.08,0.15,0.16,0.18,0.26,0.02,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
NV,SBM,S,All,"58,220",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.15,0.08,0.15,0.16,0.18,0.26,0.02,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
NV,SBM,G,All,"4,731",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.15,0.08,0.15,0.16,0.18,0.26,0.02,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
NY,SBM,B,All,"82,877",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.04,0.07,0.23,0.2,0.19,0.26,0.01,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.01,0,0,0,0.1,0.16,0.23,NR,NR,0.28
NY,SBM,S,All,"89,190",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.03,0.07,0.16,0.16,0.2,0.35,0.02,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.01,0,0.01,0.01,0.22,0.15,0.19,NR,NR,0.24
NY,SBM,G,All,"28,190",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.05,0.07,0.1,0.13,0.21,0.44,0.01,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.01,0,0,0,0.1,0.11,0.16,NR,NR,0.41
OH,HC.gov,B,All,"124,744",$532 ,$241 ,0.15,0.74,0,0,0,0,0,0.74,$396 ,$131 ,0.13,0.07,0.11,0.12,0.15,0.41,0,0.47,0.53,0.02,0,0.04,0,0.04,0.6,0,0.01,0.28,0,0.04,0,0.04,0.61,0.01,0.01,0.29,0.8,0.18,0.22,0.78,N/A,N/A,N/A,N/A,N/A,0,0.01,0.04,0.1,0.18,0.16,0.19,0.07,0.08,0.17
OH,HC.gov,S,All,"120,286",$611 ,$188 ,0.14,0.89,0.72,0.19,0.29,0.23,0,0.89,$476 ,$130 ,0.08,0.07,0.15,0.14,0.17,0.38,0.01,0.47,0.53,0.03,0,0.05,0,0.05,0.55,0.01,0.01,0.3,0,0.05,0,0.05,0.56,0.01,0.01,0.31,0.77,0.2,0.21,0.79,N/A,N/A,N/A,N/A,N/A,0.01,0.05,0.23,0.3,0.19,0.08,0.07,0.02,0.02,0.07
OH,HC.gov,G,All,"12,409",$731 ,$543 ,0,0.53,0,0,0,0,0,0.53,$354 ,$367 ,0.13,0.06,0.14,0.14,0.16,0.36,0,0.48,0.52,0.02,0,0.03,0,0.04,0.64,0.01,0.01,0.24,0,0.03,0,0.04,0.66,0.01,0.02,0.25,0.82,0.16,0.2,0.8,N/A,N/A,N/A,N/A,N/A,0,0,0.01,0.03,0.13,0.16,0.17,0.08,0.11,0.31
OK,HC.gov,B,All,"79,930",$503 ,$71 ,0.6,0.95,0.34,0,0,0,0.34,0.93,$464 ,$39 ,0.17,0.1,0.16,0.18,0.16,0.23,0.01,0.47,0.53,0.05,0.27,0.03,0,0.03,0.32,0,0.07,0.23,0.27,0.04,0,0.03,0.34,0.01,0.07,0.25,0.71,0.24,0.36,0.64,N/A,N/A,N/A,N/A,N/A,0.01,0.11,0.19,0.18,0.22,0.17,0.13,0.04,0.03,0.03
OK,HC.gov,S,All,"77,436",$716 ,$84 ,0.37,0.98,0.95,0.09,0.3,0.55,0.01,0.98,$645 ,$72 ,0.06,0.1,0.17,0.19,0.2,0.26,0.01,0.44,0.56,0.07,0.01,0.05,0,0.03,0.44,0,0.02,0.38,0.01,0.05,0,0.03,0.47,0.01,0.02,0.4,0.65,0.29,0.46,0.54,N/A,N/A,N/A,N/A,N/A,0.01,0.29,0.55,0.3,0.1,0.02,0.01,0,0,0
OK,HC.gov,G,All,"31,772",$704 ,$168 ,0.21,0.94,0.05,0,0,0,0.05,0.93,$573 ,$135 ,0.17,0.08,0.13,0.16,0.18,0.27,0,0.47,0.53,0.05,0.04,0.03,0,0.02,0.53,0,0.03,0.29,0.05,0.03,0,0.02,0.56,0.01,0.03,0.31,0.73,0.22,0.57,0.43,N/A,N/A,N/A,N/A,N/A,0.01,0.05,0.08,0.11,0.29,0.22,0.18,0.04,0.04,0.03
OR,HC.gov,B,All,"61,601",$492 ,$187 ,0.24,0.73,0.01,0,0,0,0.01,0.73,$420 ,$103 ,0.1,0.06,0.14,0.17,0.19,0.34,0.01,0.48,0.52,0.05,0.01,0.06,0,0.01,0.64,0.01,0.03,0.19,0.01,0.06,0,0.01,0.66,0.01,0.03,0.21,0.84,0.11,0.22,0.78,N/A,N/A,N/A,N/A,N/A,0,0,0.02,0.06,0.12,0.15,0.27,0.11,0.14,0.13
OR,HC.gov,S,All,"59,329",$676 ,$157 ,0.14,0.91,0.68,0.19,0.32,0.17,0,0.9,$576 ,$111 ,0.04,0.07,0.15,0.17,0.2,0.35,0.02,0.43,0.57,0.06,0,0.08,0.01,0.01,0.59,0.01,0.02,0.21,0,0.08,0.01,0.01,0.61,0.02,0.03,0.24,0.8,0.13,0.24,0.76,N/A,N/A,N/A,N/A,N/A,0.02,0.04,0.16,0.33,0.19,0.09,0.1,0.04,0.03,0.03
OR,HC.gov,G,All,"25,159",$615 ,$342 ,0,0.68,0,0,0,0,0,0.68,$400 ,$262 ,0.13,0.07,0.17,0.21,0.18,0.23,0,0.46,0.54,0.07,0,0.05,0,0.01,0.66,0.01,0.03,0.16,0,0.05,0,0.01,0.69,0.02,0.04,0.18,0.85,0.08,0.17,0.83,N/A,N/A,N/A,N/A,N/A,0,0,0.01,0.05,0.15,0.16,0.24,0.1,0.15,0.15
PA,SBM,B,All,"90,297",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.06,0.07,0.17,0.15,0.18,0.35,0.01,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.01,0.02,0.06,0.14,0.17,0.15,0.21,0.06,0.08,0.11
PA,SBM,S,All,"151,284",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.05,0.07,0.16,0.17,0.2,0.34,0.02,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.02,0.13,0.33,0.37,0.12,0.05,0.06,0.01,0.01,0.02
PA,SBM,G,All,"131,570",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.06,0.06,0.14,0.14,0.17,0.41,0.01,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.01,0.02,0.04,0.13,0.22,0.17,0.2,0.06,0.07,0.09
RI,SBM,B,All,"7,633",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.07,0.08,0.2,0.17,0.18,0.29,0.01,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0,0.01,0.02,0.09,0.14,0.17,0.2,0.09,0.09,0.19
